---------------------------------------Czasy dla fork
LIczba,czRMat,czRPot,czUz,czSys,czUzPot,czSysPot
100000,5.092821,5.039266,0.177055,4.915772,0.011611,6.100349
166666,9.479957,9.388205,0.307394,9.172564,0.024772,11.047639
233332,11.901640,11.773146,0.408853,11.492790,0.035196,14.091635
299998,15.714333,15.546735,0.509270,15.205066,0.041118,18.545377
366664,22.187929,21.970820,0.766513,21.421420,0.062676,25.807125
433330,25.363899,25.120954,0.905298,24.458604,0.075476,29.199332
499996,38.575714,38.240010,1.294893,37.280823,0.129687,45.608787
---------------------------------------Czasy dla vfork
100000,2.727645,2.666736,0.086331,2.641316,0.000585,1.946407
166666,4.213788,4.119834,0.085627,4.128163,0.000521,3.037852
233332,5.583142,5.452202,0.141678,5.441467,0.000840,3.791763
299998,5.300942,5.151735,0.134726,5.166218,0.000277,2.753345
366664,6.635488,6.453149,0.125910,6.509580,0.000292,3.416493
433330,8.053383,7.839451,0.226453,7.826932,0.000539,4.154679
499996,8.880027,8.636309,0.162310,8.717720,0.000232,4.554858
---------------------------------------Czasy dla clone
100000,4.372303,4.212674,0.154357,4.217949,0.001382,3.835783
166666,7.284196,7.018415,0.255333,7.028865,0.003332,6.386676
233332,10.670846,10.290433,0.308968,10.361880,0.004413,9.168776
299998,13.254397,12.774181,0.340795,12.913604,0.005396,11.553898
366664,16.349963,15.755983,0.549140,15.800826,0.008924,14.222678
433330,24.660590,23.838815,0.719102,23.941491,0.013759,22.224664
499996,30.362657,29.380227,0.931330,29.431330,0.019786,27.754637
---------------------------------------Czasy dla vclone
100000,1.732471,1.683349,0.031073,1.701399,0.000105,0.927653
166666,3.483272,3.392112,0.091781,3.391493,0.000332,2.188576
233332,4.889537,4.761789,0.150464,4.739075,0.000667,3.036742
299998,5.041482,4.895948,0.114432,4.927052,0.000180,2.578221
366664,6.224526,6.044979,0.111616,6.112914,0.000271,3.128099
433330,7.553638,7.338180,0.191114,7.362527,0.000205,3.831454
499996,8.825060,8.577399,0.208823,8.616239,0.000467,4.514829
