LIczba,czRMat,czRPot,czUz,czSys,czUzPot,czUzSys
5,0.000901,0.000257,0.000907,0.000000,0.000000,0.000998
25005,1.895243,0.409335,0.061586,1.833658,0.007704,2.192674
50005,3.611801,0.759099,0.101072,3.510728,0.012925,4.147085
75005,5.496790,1.167212,0.192369,5.304420,0.017619,6.292454
100005,7.821195,1.721267,0.207355,7.613840,0.026493,9.160596
125005,9.814316,2.150189,0.331959,9.482356,0.034673,11.483241
150005,11.712912,2.571022,0.440029,11.272882,0.041859,13.741885
175005,13.729686,3.018165,0.508813,13.220873,0.042726,16.084038
200005,15.315589,3.314782,0.506183,14.809406,0.047929,17.770176
225005,17.689538,3.885070,0.668968,17.020570,0.062350,20.724337
250005,18.684533,3.955561,0.742702,17.941830,0.067850,21.760258
275005,19.974376,4.126178,0.638579,19.335796,0.063579,23.224450
300005,22.238382,4.651434,0.644901,21.593481,0.075934,25.898900
325005,23.817723,4.929876,0.744516,23.073391,0.070937,27.719136
350005,25.881844,5.373862,0.811930,25.069759,0.084630,30.047951
375005,27.481031,5.658276,0.922023,26.559008,0.085529,31.814015
400005,29.649126,6.177371,0.933852,28.715274,0.094356,34.443123
425005,27.013173,4.862810,0.947632,26.065541,0.077746,30.843916
450005,24.812046,3.845013,0.996536,23.815510,0.065494,28.541336
475005,24.039943,3.278736,0.922542,23.117401,0.057058,27.658465
500005,25.233784,3.437386,0.914453,24.319331,0.061338,29.065836
525005,26.607450,3.626224,0.998719,25.608732,0.068458,30.668701
550005,27.827970,3.783301,0.961046,26.866923,0.073290,32.058243
575005,29.226598,3.973410,1.083259,28.143339,0.076823,33.640201
600005,30.756036,4.188723,1.174440,29.581933,0.070689,35.329704
625005,32.018361,4.354215,1.211348,30.806704,0.074325,36.783181
650005,33.446391,4.562244,1.199753,32.246639,0.074348,38.379308
675005,34.324848,4.663480,1.239743,33.085105,0.085528,39.504949
700005,35.636422,4.855998,1.348485,34.283949,0.086326,40.986467
725005,36.767477,4.996935,1.328719,35.438758,0.091566,42.355838
750005,38.386395,5.180627,1.472481,36.913913,0.092398,44.122880
775005,41.810433,5.453594,1.361051,40.449383,0.102827,47.306707
800005,40.302338,5.476409,1.507161,38.795177,0.098477,46.547259
825005,42.909682,5.714526,1.556793,41.352889,0.108780,49.184572
850005,42.679479,5.798492,1.689228,40.990251,0.108596,49.295287
875005,43.955069,5.972159,1.664301,42.291226,0.109390,50.745898
900005,45.220202,6.154434,1.727436,43.492334,0.111143,52.154137
925005,46.469746,6.317374,1.709606,44.760140,0.124294,53.652661
950005,47.891919,6.479670,1.898519,45.993400,0.120657,55.253943
975005,49.036041,6.660362,1.837189,47.198852,0.123265,56.635359
1000005,50.215725,6.813706,1.898858,48.316866,0.129835,58.049320
----------------------------------------------------------------NEXT
5,0.000112,0.000022,0.000000,0.000322,0.000000,0.000054
25004,0.445848,0.106365,0.004640,0.441008,0.000000,0.230900
50003,0.883107,0.209382,0.013097,0.870011,0.000000,0.455021
75002,1.330962,0.314708,0.036462,1.294499,0.000058,0.686202
100001,1.765909,0.415370,0.059908,1.706001,0.000029,0.894095
125000,2.210712,0.518671,0.064256,2.146455,0.000024,1.122042
149999,2.651297,0.621645,0.060359,2.590937,0.000045,1.356462
174998,3.090757,0.732713,0.064878,3.025878,0.000057,1.586076
199997,3.543196,0.834799,0.071598,3.471598,0.000134,1.842859
224996,3.982634,0.940785,0.086524,3.896110,0.000149,2.040798
249995,4.420303,1.044041,0.108914,4.311388,0.000201,2.266086
274994,4.865589,1.154343,0.079092,4.786498,0.000271,2.496603
299993,5.314316,1.256852,0.150662,5.163654,0.000199,2.756364
324992,5.763455,1.361747,0.190581,5.572873,0.000405,2.933874
349991,6.186921,1.460209,0.172133,6.014789,0.000213,3.141447
374990,6.626845,1.565122,0.177576,6.449268,0.000286,3.393294
399989,7.076812,1.671503,0.189158,6.887654,0.000275,3.600799
424988,7.518830,1.782652,0.172084,7.346746,0.000386,3.846584
449987,7.939494,1.883444,0.217453,7.722042,0.000382,4.092340
474986,8.420524,1.990350,0.231059,8.189464,0.000285,4.335444
499985,8.851987,2.092612,0.244628,8.607359,0.000378,4.556740
524984,9.294834,2.197105,0.289710,9.005123,0.000465,4.750611
549983,9.740253,2.295238,0.242178,9.498075,0.000349,4.986591
574982,10.190084,2.401967,0.297438,9.892646,0.000355,5.186249
599981,10.588855,2.500638,0.298643,10.290212,0.000704,5.421764
624980,11.063999,2.612569,0.288045,10.775954,0.000638,5.677531
649979,11.530074,2.735521,0.246633,11.283441,0.000488,5.914153
674978,11.947127,2.828032,0.294409,11.652718,0.000606,6.130437
699977,12.377193,2.927946,0.314112,12.063080,0.000544,6.345128
724976,12.867372,3.059910,0.331345,12.536026,0.000552,6.589079
749975,13.312978,3.149361,0.311512,13.001466,0.000525,6.827900
774974,13.740078,3.261946,0.349039,13.391040,0.000515,7.043128
799973,14.117199,3.341824,0.331723,13.785475,0.000906,7.243628
824972,14.597115,3.451085,0.339522,14.257592,0.000726,7.466157
849971,14.967862,3.555265,0.377682,14.590180,0.000551,7.699716
874970,15.829544,3.726026,0.362577,15.466966,0.000372,8.022738
899969,16.563365,3.891276,0.354594,16.208771,0.001475,8.457271
924968,16.986832,3.983566,0.367416,16.619416,0.000845,8.570910
949967,17.485842,4.119601,0.477462,17.008380,0.000969,8.862646
974966,17.966876,4.222835,0.407100,17.559775,0.000828,9.100024
----------------------------------------------------------------NEXT
5,0.000300,0.000019,0.000010,0.000290,0.000000,0.000331
25004,1.127770,0.072250,0.027842,1.099927,0.001182,1.171203
50003,2.307753,0.146193,0.078839,2.228914,0.002369,2.392070
75002,3.428288,0.217960,0.106765,3.321523,0.003808,3.557064
100001,4.546295,0.290124,0.148278,4.398016,0.005271,4.732041
125000,5.711832,0.363288,0.195178,5.516654,0.007107,5.923861
149999,6.860624,0.437194,0.254812,6.605810,0.007182,7.133775
174998,8.002569,0.508328,0.228653,7.773915,0.008411,8.278945
199997,9.163396,0.583004,0.264293,8.899102,0.010118,9.488604
224996,10.214612,0.653790,0.314173,9.900439,0.010009,10.588623
249995,11.445375,0.729341,0.290873,11.155610,0.014292,11.867620
274994,12.576314,0.801801,0.326393,12.248841,0.013911,13.067978
299993,13.776013,0.872853,0.451437,13.324576,0.015281,14.244345
324992,15.030273,0.948210,0.516520,14.513752,0.016591,15.551317
349991,15.978362,1.015250,0.485739,15.492621,0.017772,16.636383
374990,17.352630,1.096534,0.587013,16.765616,0.018972,18.049740
399989,18.992401,1.186776,0.629798,18.362602,0.018504,19.619787
424988,19.879930,1.251799,0.575736,19.304193,0.020805,20.626265
449987,20.895810,1.324758,0.722562,20.173248,0.023402,21.716140
474986,21.095273,1.393280,0.763848,20.331426,0.022973,22.292787
499985,21.962792,1.466962,0.740287,21.222504,0.023252,23.380744
524984,22.750267,1.535883,0.775353,21.975147,0.022621,24.215862
549983,23.886480,1.607066,0.781825,23.104450,0.023872,25.355628
574982,25.096035,1.681331,0.846487,24.249547,0.022471,26.625150
599981,26.055480,1.752687,0.792376,25.263103,0.024695,27.709744
