---------------------------------------Czasy dla fork
LIczba,czRMat,czRPot,czUz,czSys,czUzPot,czSysPot
10000,0.531934,0.525656,0.030251,0.501689,0.000616,0.608641
19000,0.997609,0.985826,0.032229,0.965383,0.002685,1.144405
28000,1.501028,1.483078,0.056942,1.444088,0.005578,1.716543
37000,2.038174,2.016523,0.059976,1.978200,0.005545,2.325095
46000,2.499515,2.472319,0.091220,2.408297,0.006263,2.853623
55000,3.324936,3.296669,0.093878,3.231060,0.007927,3.735337
64000,3.733708,3.697924,0.102401,3.631309,0.011554,4.227122
73000,4.126212,4.084554,0.067676,4.058540,0.009813,4.673727
82000,4.302091,4.250442,0.150929,4.151164,0.013954,4.924768
91000,4.602528,4.554350,0.198962,4.403567,0.012780,5.382627
100000,5.049121,4.996219,0.179964,4.869160,0.013091,5.911492
---------------------------------------Czasy dla vfork
10000,0.177347,0.172303,0.000000,0.178224,0.000000,0.090982
19000,0.339055,0.329512,0.010062,0.328144,0.000054,0.173517
28000,0.498636,0.484633,0.018068,0.480571,0.000050,0.256627
37000,0.657862,0.639221,0.017621,0.640243,0.000000,0.337970
46000,0.817695,0.795000,0.010895,0.806802,0.000079,0.420571
55000,0.978391,0.950841,0.023938,0.954455,0.000032,0.503508
64000,1.135699,1.104088,0.036787,1.098915,0.000000,0.585452
73000,1.295864,1.259936,0.013264,1.282601,0.000050,0.665770
82000,1.462246,1.421242,0.042513,1.419736,0.000000,0.753869
91000,1.625649,1.580235,0.038381,1.587270,0.000164,0.837034
100000,1.776720,1.727051,0.063723,1.713000,0.000056,0.914618
---------------------------------------Czasy dla clone
10000,0.441353,0.425245,0.006577,0.434778,0.000169,0.390626
19000,0.841161,0.810800,0.026408,0.814756,0.000829,0.741019
28000,1.238591,1.193909,0.047848,1.190745,0.000561,1.093023
37000,1.628877,1.569544,0.035714,1.593165,0.001047,1.440151
46000,2.030089,1.956204,0.050482,1.979609,0.000900,1.791308
55000,2.434612,2.346438,0.076532,2.358084,0.001134,2.149191
64000,2.833918,2.731928,0.113813,2.720107,0.000868,2.498983
73000,3.205432,3.090101,0.126546,3.078887,0.001839,2.825690
82000,3.603481,3.473939,0.116422,3.487061,0.001614,3.172158
91000,3.992458,3.848389,0.096395,3.896064,0.002319,3.515538
100000,4.407702,4.248679,0.120396,4.287308,0.001948,3.884109
---------------------------------------Czasy dla vclone
10000,0.169564,0.164586,0.016046,0.153520,0.000000,0.085346
19000,0.321004,0.311549,0.003933,0.317072,0.000000,0.160323
28000,0.475532,0.461665,0.006629,0.468904,0.000000,0.238742
37000,0.630626,0.612313,0.029402,0.601226,0.000026,0.320037
46000,0.782155,0.758936,0.033645,0.748513,0.000027,0.393656
55000,0.932540,0.905290,0.040967,0.891576,0.000048,0.469565
64000,1.091091,1.059915,0.023620,1.067475,0.000060,0.548998
73000,1.243213,1.206958,0.012447,1.230769,0.000025,0.625958
82000,1.393972,1.353279,0.038554,1.355421,0.000128,0.700103
91000,1.544165,1.499252,0.034423,1.509744,0.000078,0.772847
100000,1.700368,1.650614,0.037349,1.663022,0.000048,0.855157
